Date,Positive Sentiment Averaged,Negative Sentiment Averaged,Overall Sentiment Averaged,Positive Sentiment Summed,Negative Sentiment Summed,Overall Sentiment Summed,Positive Sentiment RMS,Negative Sentiment RMS,Overall Sentiment RMS,XRP_Change,XRP_High,XRP_Low,XRP_Open,XRP_Price,XRP_Vol,BTC_Change,BTC_High,BTC_Low,BTC_Open,BTC_Price,BTC_Vol,ETH_Change,ETH_High,ETH_Low,ETH_Open,ETH_Price,ETH_Vol,RMS_box_filter,Summed_box_filter,Averaged_box_filter,ten day percent change,thirty day percent change,binned price
2017-09-22,0.09411764705882353,-0.2,-0.10588235294117648,0.09411764705882353,-0.2,-0.10588235294117648,0.09411764705882353,-0.2,-0.10588235294117648,3.7,0.1771,0.166,0.171,0.1793,4850.0,-0.14,3743.6,3493.5,3597.3,3598.5,49.24,2.15,269.5,253.03,256.67,262.19,183.77,-0.13117105053403474,-0.13117105053403474,-0.13117105053403474,0.049765807962529156,-0.16952292728114876,3
2017-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.45,0.1804,0.1699,0.1729,0.1749,11860.0,5.03,3808.0,3559.1,3598.7,3779.6,25.64,9.04,287.2,259.01,262.19,285.9,162.98,-0.07317647058823532,-0.07317647058823532,-0.07317647058823532,-0.05048859934853422,-0.16515513126491643,3
2017-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09,0.18,0.1726,0.1793,0.1838,3930.0,-3.35,3781.3,3620.0,3779.6,3652.8,20.88,-1.36,294.54,275.41,285.9,282.0,196.56,-0.07317647058823532,-0.07317647058823532,-0.07317647058823532,0.009890109890109869,-0.08829365079365084,3
2017-09-25,0.15299334811529933,-0.11973392461197335,0.033259423503325974,0.15299334811529933,-0.11973392461197335,0.033259423503325974,0.15299334811529933,-0.11973392461197335,0.033259423503325974,2.77,0.1869,0.1745,0.1749,0.1889,6870.0,7.59,3977.0,3654.7,3654.7,3930.0,40.15,4.68,297.93,281.8,282.0,295.2,186.37,-0.014524585887570102,-0.014524585887570102,-0.014524585887570102,0.04249448123620316,-0.16156236129604964,3
2017-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22,0.1943,0.18100000000000002,0.1838,0.2101,9690.0,-1.3,3983.0,3850.9,3930.0,3879.1,21.41,-2.01,296.38,285.2,295.2,289.28,104.72,-0.014524585887570102,-0.014524585887570102,-0.014524585887570102,0.08747412008281572,-0.04282460136674256,3
2017-09-27,0.14285714285714285,-0.14285714285714285,0.0,0.14285714285714285,-0.14285714285714285,0.0,0.14285714285714285,-0.14285714285714285,0.0,-3.76,0.2156,0.1877,0.1889,0.2022,21350.0,8.41,4226.5,3878.1,3881.6,4205.4,48.62,7.08,315.51,286.93,289.28,309.75,213.82,0.0066518847006651945,0.0066518847006651945,0.0066518847006651945,0.09534127843987002,-0.12694300518134718,3
2017-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.57,0.2109,0.1965,0.2101,0.19699999999999998,15340.0,-0.37,4268.6,4125.0,4207.5,4190.0,36.57,-2.3,310.69,297.75,309.75,302.63,140.29,0.0066518847006651945,0.0066518847006651945,0.0066518847006651945,0.08480176211453727,-0.23879443585780524,3
2017-09-29,0.17722878625134264,-0.10311493018259936,0.07411385606874328,0.17722878625134264,-0.10311493018259936,0.07411385606874328,0.17722878625134264,-0.10311493018259936,0.07411385606874328,1.02,0.2022,0.1879,0.2022,0.19899999999999998,11890.0,-0.48,4244.6,4024.7,4190.0,4169.9,38.94,-3.29,303.9,280.5,302.63,292.66,276.12,0.021474655914413852,0.021474655914413852,0.021474655914413852,0.16374269005847933,-0.21560898699251085,3
2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,0.2065,0.195,0.19699999999999998,0.2089,6450.0,4.73,4393.4,4160.1,4168.1,4367.0,31.5,3.68,307.76,292.3,292.66,303.44,131.2,0.014822771213748656,0.014822771213748656,0.014822771213748656,0.20821283979178717,-0.06532438478747205,3
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.68,0.2089,0.1964,0.19899999999999998,0.2033,3970.0,0.85,4420.5,4257.7,4366.6,4404.3,29.23,0.27,305.57,295.0,303.44,304.26,110.1,0.014822771213748656,0.014822771213748656,0.014822771213748656,0.13385387618516464,-0.11608695652173913,3
2017-10-02,0.050835148874364564,-0.17283950617283952,-0.12200435729847496,0.050835148874364564,-0.17283950617283952,-0.12200435729847496,0.050835148874364564,-0.17283950617283952,-0.12200435729847496,-0.15,0.2099,0.2,0.2089,0.203,5520.0,-0.1,4482.0,4359.8,4404.3,4400.1,29.08,-2.45,304.63,292.1,304.26,296.82,133.99,-0.009578100245946335,-0.009578100245946335,-0.009578100245946335,0.16066323613493433,0.002469135802469138,3
2017-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,0.2062,0.1975,0.2033,0.2148,6050.0,-2.02,4439.9,4222.0,4399.3,4311.1,28.54,-1.73,300.5,285.93,296.82,291.69,129.15,-0.009578100245946335,-0.009578100245946335,-0.009578100245946335,0.1686615886833515,-0.0009302325581395615,3
2017-10-04,0.331578268163634,-0.059923861143373336,0.27165440702026067,0.994734804490902,-0.17977158343012,0.814963221060782,0.393184878291484,-0.10063479942498665,0.29255007886649737,10.38,0.2173,0.2011,0.203,0.2371,10070.0,-2.23,4353.8,4177.7,4310.6,4215.1,26.37,-0.1,296.0,287.56,291.69,291.4,112.7,0.03410914431360448,0.13859177275246143,0.029930009944357138,0.255161461090524,0.026406926406926382,4
2017-10-05,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,-0.0,0.2857142857142857,-1.69,0.2445,0.2133,0.2148,0.2331,23410.0,2.38,4364.6,4134.9,4215.9,4315.4,25.36,1.28,297.92,285.12,291.4,295.12,90.8,0.0912520014564616,0.1957346298953186,0.08707286708721428,0.10947168015230839,0.029139072847682097,4
